session_id,time_start,time_end,penguins,silly_word,climate_care,fruit,time_q_penguins,time_q_silly_word,time_q_climate_care,time_q_fruit,time_p_welcome,time_p_page2,time_p_page3,time_p_end,time_q_dob,dob,time_q_einstein,time_q_word,einstein,word
248f8d9ab44a637360d977da6c825722,2024-12-11 00:43:02 UTC,2024-12-11 00:44:29 UTC,gentoo,Flumpt,Somewhat,mango,2024-12-11 00:43:24 UTC,2024-12-11 00:43:53 UTC,2024-12-11 00:43:58 UTC,2024-12-11 00:44:02 UTC,2024-12-11 00:43:02 UTC,2024-12-11 00:43:28 UTC,2024-12-11 00:43:53 UTC,2024-12-11 00:44:10 UTC,,2024-12-10,2024-12-11 00:44:09 UTC,2024-12-11 00:44:08 UTC,lemon_posicle,Cranberries
252b615bc3152f4475b6105db6a3dfda,2024-12-11 19:25:40 UTC,2024-12-11 19:26:08 UTC,,,,,,,,,2024-12-11 19:25:40 UTC,,,,,2024-12-11,,,,
511bd1ed43c9bcfa6ce91feea1005273,2024-12-11 00:30:11 UTC,2024-12-11 00:30:46 UTC,,,,,,,,,2024-12-11 00:30:11 UTC,,,,,2024-12-10,,,,
65bde76df1b878dfef85b614a096acd3,2024-12-04 01:13:03 UTC,2024-12-04 01:14:49 UTC,chinstrap,hello,Somewhat,banana,2024-12-04 01:13:14 UTC,2024-12-04 01:13:20 UTC,2024-12-04 01:13:24 UTC,2024-12-04 01:14:03 UTC,2024-12-04 01:13:03 UTC,2024-12-04 01:13:15 UTC,2024-12-04 01:13:21 UTC,2024-12-04 01:14:05 UTC,,,,,,
6f69b957a7e949cfa0022db5ccb025fa,2024-12-11 00:43:07 UTC,2024-12-11 00:45:16 UTC,chilly,psychometrics,Neutral,banana,2024-12-11 00:43:15 UTC,2024-12-11 00:44:21 UTC,2024-12-11 00:44:27 UTC,2024-12-11 00:44:33 UTC,2024-12-11 00:43:07 UTC,2024-12-11 00:43:32 UTC,2024-12-11 00:44:22 UTC,2024-12-11 00:44:51 UTC,2024-12-11 00:43:27 UTC,2245-12-10,2024-12-11 00:44:50 UTC,2024-12-11 00:44:45 UTC,2,Banana
72a604fafc269b9eaa7be0b709c110e3,2024-12-12 11:29:56 UTC,2024-12-12 11:31:40 UTC,chilly,Cupcake,Strongly Believe,banana,2024-12-12 11:30:12 UTC,2024-12-12 11:30:30 UTC,2024-12-12 11:30:59 UTC,2024-12-12 11:31:07 UTC,2024-12-12 11:29:56 UTC,2024-12-12 11:30:23 UTC,2024-12-12 11:30:41 UTC,2024-12-12 11:31:18 UTC,,2024-12-12,2024-12-12 11:31:16 UTC,2024-12-12 11:31:12 UTC,lemon_posicle,Nope
7d265f2062eb2498d3ebd126c873c1f0,2024-12-11 00:43:04 UTC,2024-12-11 00:45:38 UTC,gentoo,potato,Neutral,banana,2024-12-11 00:43:14 UTC,2024-12-11 00:44:42 UTC,2024-12-11 00:45:00 UTC,2024-12-11 00:45:09 UTC,2024-12-11 00:43:04 UTC,2024-12-11 00:44:18 UTC,2024-12-11 00:44:44 UTC,2024-12-11 00:45:17 UTC,2024-12-11 00:44:10 UTC,3000-12-10,2024-12-11 00:45:16 UTC,2024-12-11 00:45:14 UTC,lemon_posicle,Lobsters
8b9621a89ffbe6a87d9938480803c3de,2024-12-11 19:29:47 UTC,2024-12-11 19:30:05 UTC,,,,,,,,,2024-12-11 19:29:47 UTC,,,,,2024-12-11,,,,
8dc85dd5883f471fde99491ef2bd3b55,2024-12-11 00:37:10 UTC,2024-12-11 00:39:12 UTC,,,,,,,,,2024-12-11 00:37:10 UTC,,,,,2024-12-10,,,,
cdc90d1736b8fed9b3b69874e9cd78ea,2024-12-11 19:20:38 UTC,2024-12-11 19:22:39 UTC,gentoo,silly word,Somewhat,pear,2024-12-11 19:21:47 UTC,2024-12-11 19:22:06 UTC,2024-12-11 19:22:10 UTC,2024-12-11 19:22:12 UTC,2024-12-11 19:20:38 UTC,2024-12-11 19:21:59 UTC,2024-12-11 19:22:07 UTC,2024-12-11 19:22:19 UTC,2024-12-11 19:21:58 UTC,2042-12-11,2024-12-11 19:22:18 UTC,2024-12-11 19:22:15 UTC,lemon_posicle,nope
da59a6efdd1b98c08e0ae43c7517a714,2024-12-11 00:31:40 UTC,2024-12-11 00:32:04 UTC,,,,,,,,,2024-12-11 00:31:40 UTC,,,,,2024-12-10,,,,
dd8ac2cb7ac2b28a51f0c80147c51638,2024-12-11 00:42:12 UTC,2024-12-11 00:43:41 UTC,,,,,,,,,2024-12-11 00:42:12 UTC,,,,,2024-12-10,,,,
fad2380954570a625a356f108cd82ddd,2024-12-11 00:42:58 UTC,2024-12-11 00:45:28 UTC,gentoo,Googleplex,Believe,pear,2024-12-11 00:43:14 UTC,2024-12-11 00:44:13 UTC,2024-12-11 00:44:25 UTC,2024-12-11 00:44:30 UTC,2024-12-11 00:42:58 UTC,2024-12-11 00:44:06 UTC,2024-12-11 00:44:15 UTC,2024-12-11 00:44:38 UTC,2024-12-11 00:44:05 UTC,2166-12-20,2024-12-11 00:44:36 UTC,2024-12-11 00:44:33 UTC,2,Sushi